Category,Sub-Category,Total_Sales,Total_Profit,Total_Quantity,Avg_Discount,Profit_Margin_Pct
Technology,Phones,330007.054,44515.7306,3289,0.15455568053993252,11.922197225346832
Furniture,Chairs,328449.103,26590.1663,2356,0.17017828200972449,4.389962954387589
Office Supplies,Storage,223843.608,21278.8264,3158,0.07470449172576832,8.911347517730496
Furniture,Tables,206965.532,-17725.4811,1241,0.2612852664576803,-14.772652634721599
Office Supplies,Binders,203412.733,30221.7633,5974,0.3722915298752462,-19.959509739549134
Technology,Machines,189238.631,3384.7569,440,0.3060869565217391,-7.202622498274671
Technology,Accessories,167380.318,41936.6357,2976,0.07845161290322582,21.820967741935483
Technology,Copiers,149528.03,55617.8249,234,0.16176470588235295,31.71936274509804
Furniture,Bookcases,114879.9963,-3472.556,868,0.211140350877193,-12.664006830802496
Office Supplies,Appliances,107532.16100000001,18138.005400000002,1729,0.1665236051502146,-15.686933714830708
Furniture,Furnishings,91705.164,13059.1436,3563,0.13834900731452457,13.706635318704285
Office Supplies,Paper,78479.206,34053.5693,5178,0.07489051094890511,42.560036496350364
Office Supplies,Supplies,46673.538,-1189.0995,647,0.0768421052631579,11.203947368421053
Office Supplies,Art,27118.792,6527.787,3000,0.07487437185929649,25.16457286432161
Office Supplies,Envelopes,16476.402,6964.1767,906,0.08031496062992127,42.313976377952756
Office Supplies,Labels,12486.312,5546.254,1400,0.06868131868131869,42.96634615384615
Office Supplies,Fasteners,3024.28,949.5182,914,0.08202764976958525,29.91705069124424
