Region,Segment,Total_Sales,Total_Profit,Total_Orders,Avg_Profit_Margin
West,Consumer,362880.773,57450.604,825,21.84509276198518
East,Consumer,350908.167,41190.984300000004,713,16.77725101840146
Central,Consumer,252031.434,8564.0481,604,-14.164628227528636
West,Corporate,225855.2745,34437.4299,485,21.789772263071896
East,Corporate,200409.347,23622.5789,434,15.407028832057339
South,Consumer,195580.971,26913.572799999998,444,16.899354523757868
Central,Corporate,157995.8128,18703.902000000002,348,-8.355277524580908
West,Home Office,136721.777,16530.415,301,22.519066996325677
East,Home Office,127463.726,26709.216800000002,254,18.86153797508379
South,Corporate,121885.9325,15215.2232,247,15.286556743909685
Central,Home Office,91212.644,12438.4124,223,-3.1632707877671615
South,Home Office,74255.0015,4620.6343,131,16.662795231729056
