Country,Region,Year,Crop_Type,Crop_Yield_Tonnes_per_Ha,Avg_Temperature_C,Annual_Rainfall_mm,Severe_Drought,Fertilizer_Usage_kg_ha,Pesticide_Usage_kg_ha,Food_Insecurity_Index
Pakistan,South Asia,2014,Soybeans,4.75,23.73,1330.8,No,83.6,2.21,42.7
Thailand,Southeast Asia,2001,Potatoes,24.53,22.46,1429.5,No,176.8,6.13,28.5
South Africa,Sub-Saharan Africa,2014,Cassava,15.81,23.9,1321.7,No,109.6,2.56,58.1
Uganda,Sub-Saharan Africa,2013,Soybeans,3.98,25.44,1186.9,No,68.5,3.15,55.5
Argentina,South America,2003,Wheat,5.02,23.14,773.9,No,78.9,0.85,29.4
Egypt,Middle East & North Africa,2003,Cassava,15.32,23.45,642.8,No,80.9,2.4,49.0
Ukraine,Europe,2014,Wheat,5.14,11.18,608.3,No,59.4,3.89,26.1
Pakistan,South Asia,2007,Wheat,5.34,20.67,922.0,No,52.7,6.15,32.3
United States,North America,2014,Potatoes,24.13,16.31,1148.9,No,108.7,6.24,25.4
Ukraine,Europe,2006,Maize (Corn),5.06,18.98,693.7,Yes,55.6,3.16,52.4
China,East Asia,2012,Rice,5.3,21.38,871.0,No,83.8,0.76,22.1
Uganda,Sub-Saharan Africa,2000,Cassava,14.9,27.53,622.2,No,73.1,1.35,63.7
Tanzania,Sub-Saharan Africa,2021,Maize (Corn),7.29,27.38,585.4,No,87.1,1.6,61.3
Nigeria,Sub-Saharan Africa,2023,Wheat,5.19,27.1,841.8,No,93.5,1.6,53.9
Kenya,Sub-Saharan Africa,2005,Rice,6.73,27.58,662.6,No,130.9,1.46,61.3
Vietnam,Southeast Asia,2008,Wheat,4.71,20.54,1258.4,No,73.2,2.78,24.4
Pakistan,South Asia,2008,Soybeans,4.39,20.67,1337.5,No,80.1,1.45,33.4
South Africa,Sub-Saharan Africa,2019,Wheat,6.24,23.87,996.2,No,131.4,3.09,55.6
Tanzania,Sub-Saharan Africa,2023,Cassava,15.63,28.46,1397.1,No,86.4,3.74,48.8
United States,North America,2008,Potatoes,23.74,11.93,943.7,No,65.1,5.77,41.2
Thailand,Southeast Asia,2013,Cassava,16.25,23.09,1414.8,No,92.1,4.56,30.8
India,South Asia,2015,Potatoes,24.28,20.67,1070.6,No,127.7,2.22,43.2
United States,North America,2000,Soybeans,4.23,13.61,831.2,No,62.4,1.67,20.3
United States,North America,2023,Cassava,15.19,16.06,679.9,No,64.5,0.91,34.7
Egypt,Middle East & North Africa,2002,Rice,3.33,23.26,241.0,Yes,116.4,1.02,78.9
Thailand,Southeast Asia,2024,Maize (Corn),6.69,23.23,1435.2,No,33.4,3.28,23.6
Canada,North America,2014,Cassava,15.09,13.18,1055.6,No,31.0,0.91,22.5
India,South Asia,2025,Rice,7.23,22.15,786.7,No,111.9,7.13,43.9
Sudan,Sub-Saharan Africa,2011,Maize (Corn),6.85,24.31,1007.2,No,62.4,2.05,60.0
Brazil,South America,2004,Wheat,3.35,25.1,592.5,Yes,74.6,2.38,51.3
Tanzania,Sub-Saharan Africa,2016,Rice,6.91,27.26,1181.6,No,145.4,3.83,56.5
Kenya,Sub-Saharan Africa,2000,Maize (Corn),6.65,26.51,794.3,No,73.6,2.25,61.7
Brazil,South America,2020,Rice,6.04,23.75,904.0,No,73.1,2.44,13.1
United States,North America,2002,Wheat,6.72,10.86,644.9,No,153.1,1.59,18.3
Uganda,Sub-Saharan Africa,2008,Maize (Corn),4.06,27.46,386.5,Yes,90.1,0.23,84.7
Canada,North America,2025,Maize (Corn),6.56,13.53,1473.1,No,50.1,1.2,27.7
Ukraine,Europe,2009,Potatoes,12.85,17.62,1051.1,Yes,116.4,4.51,50.9
China,East Asia,2004,Potatoes,23.55,22.96,584.6,No,85.5,3.15,35.3
Kenya,Sub-Saharan Africa,2006,Cassava,15.2,27.78,910.0,No,56.4,2.57,54.7
India,South Asia,2012,Maize (Corn),6.44,21.51,595.0,No,91.4,1.37,45.8
South Africa,Sub-Saharan Africa,2020,Cassava,16.95,27.65,963.6,No,112.0,9.05,66.5
South Africa,Sub-Saharan Africa,2010,Wheat,6.16,26.2,1194.1,No,131.5,0.79,45.2
Nigeria,Sub-Saharan Africa,2003,Wheat,6.53,22.68,1040.6,No,141.9,3.75,61.1
China,East Asia,2023,Rice,5.0,23.18,1209.3,No,51.4,2.09,31.8
Turkey,Middle East & North Africa,2000,Potatoes,18.11,17.59,374.7,Yes,91.0,2.41,68.5
Nigeria,Sub-Saharan Africa,2004,Potatoes,23.27,25.0,1289.0,No,68.0,1.5,57.9
Bangladesh,South Asia,2007,Rice,6.22,22.28,843.5,No,89.4,5.57,46.8
Mexico,North America,2020,Potatoes,15.37,16.87,1081.3,Yes,95.5,2.98,51.2
Uganda,Sub-Saharan Africa,2000,Cassava,16.1,25.12,1283.6,No,108.4,4.75,62.0
